"時間戳記","你目前 ""會"" 或 ""熟練"" 的軟體有哪些呢?","拋接訂單、求職資訊交換","資源分享","純技術的分享交流","結交繪友","技術教學、課程","提問與解答幫助","其他","R-18","人物角色","動物、生物、怪物","軍武","產品、物品","風景、場景","其他","人體骨架、肌肉...等","立體透視","上色技巧、風格","繪圖軟體","場景構圖","動畫製作","其他","根據特定主題畫出相對應內容","繪圖接龍","挑戰活動 (例: 美少女戰士挑戰)","Meme 梗圖創作","二創","畫出自己的人物設定","繪圖安價","其他"
"2020/05/23 10:57:24 下午 GMT+8","PhotoShop;Clip Studio","3","4","4","5","5","4","","4","5","4","4","4","5","","5","5","5","4","5","4","","4","4","5","3","3","4","3",""
"2020/05/23 11:01:37 下午 GMT+8","PhotoShop;CorelDRAW InkScape,GIMP","5","5","5","5","5","5","","3","3","3","3","5","5","","5","5","5","5","5","5","","5","3","3","3","3","5","5",""
"2020/05/23 11:02:55 下午 GMT+8","SAI;procreate","5","4","3","3","4","5","","3","4","5","2","3","4","","4","4","5","3","5","4","","2","4","3","2","4","5","4",""
"2020/05/23 11:17:54 下午 GMT+8","PhotoShop;Painter","3","4","4","3","5","3","","3","5","4","4","3","5","","5","5","5","4","5","5","","4","3","2","2","2","5","3",""
"2020/05/23 11:19:10 下午 GMT+8","PhotoShop;MediBang Paint Pro;Painter","3","4","4","5","4","5","","5","5","4","3","2","3","","3","3","4","4","4","5","","4","5","5","5","4","5","3",""
"2020/05/23 11:21:57 下午 GMT+8","Clip Studio","3","3","3","2","4","2","","3","5","3","3","3","3","","4","4","5","1","5","3","","3","3","4","2","3","5","5",""
"2020/05/23 11:22:03 下午 GMT+8","PhotoShop;AI","4","5","4","3","4","4","創作互動","3","2","2","2","4","3","","2","2","4","4","3","3","影像合成, 平面設計","2","3","2","5","4","2","3",""
"2020/05/23 11:40:52 下午 GMT+8","SAI","4","5","4","4","5","4","","4","4","4","4","4","4","","5","5","4","4","4","4","","4","4","4","3","4","4","4",""
"2020/05/24 1:44:50 上午 GMT+8","Clip Studio;MediBang Paint Pro","3","4","4","5","4","5","","4","4","3","4","4","5","","5","5","4","4","4","4","","3","2","2","3","3","3","3",""
"2020/05/24 3:07:03 下午 GMT+8","PhotoShop;mspaint","4","5","5","5","5","2","","1","4","3","2","4","4","","5","5","5","5","5","5","","3","4","3","2","3","3","3",""
"2020/05/25 10:51:53 上午 GMT+8","PhotoShop;MediBang Paint Pro","3","4","4","4","5","5","","3","5","5","4","4","5","","5","5","5","4","5","5","","5","4","3","3","3","4","5",""
"2020/05/25 7:19:44 下午 GMT+8","PhotoShop;Clip Studio;MediBang Paint Pro","4","5","5","5","5","5","","1","5","5","1","5","3","","2","5","5","5","5","5","","5","2","4","5","5","5","5",""
"2020/05/25 7:20:23 下午 GMT+8","PhotoShop;SAI;MediBang Paint Pro","3","5","5","5","5","5","","3","3","4","3","4","3","","2","2","4","5","3","5","","5","5","5","4","5","5","3",""
"2020/05/25 7:20:30 下午 GMT+8","PhotoShop;SAI;MediBang Paint Pro","3","5","5","5","5","5","","3","3","4","3","4","3","","2","2","4","5","3","5","","5","5","5","4","5","5","3",""
"2020/05/26 10:57:20 上午 GMT+8","Krita;Clip Studio","4","4","5","5","4","5","","3","4","4","3","4","5","","5","3","3","2","4","4","","4","5","3","3","3","3","3",""
"2020/05/30 12:41:16 上午 GMT+8","PhotoShop","2","3","2","5","5","3","","4","4","4","5","5","3","","4","4","4","3","4","3","","3","2","4","2","2","4","3",""
"2020/05/30 5:15:34 下午 GMT+8","PhotoShop;SAI","3","3","2","3","5","4","","3","4","4","3","3","4","","5","5","5","4","4","2","","4","4","5","4","4","5","4",""
