"時間戳記","你目前 ""會"" 或 ""熟練"" 的軟體有哪些呢?","目前  ""最有興趣"" 或 ""最想學習"" 的軟體","拋接訂單、求職資訊交換","資源分享","純技術的分享交流","結交同好","技術教學、課程","提問與解答幫助","其他","R-18","人物角色","動物、生物、怪物","軍武","產品、物品","材質貼圖","Rigging 綁骨架","動畫製作","遊戲製作","其他","點線面建模 (拓撲)","雕塑建模","Shading","Rigging 綁骨架","材質貼圖","動畫製作","遊戲製作","其他","根據特定主題建模出相對應內容","二創","建模接龍","建模安價","建模出自己的人物設定","其他"
"2020/05/23 10:56:19 下午 GMT+8","Maya;Zbrush;Substance Painter, Marvelous Designer, ","Blender;Unity;Unreal Engine 4;Mari, Nuke Houdini","3","4","4","5","5","4","","3","4","4","3","3","3","3","4","4","","3","4","4","3","4","3","4","","3","4","3","4","4",""
"2020/05/23 11:10:28 下午 GMT+8","Blender;Maya;Zbrush","Blender;Zbrush;Unity","3","4","4","3","5","3","","3","5","4","4","3","5","5","5","5","","5","5","5","5","5","5","5","","4","2","3","3","5",""
"2020/05/23 11:20:13 下午 GMT+8","None","Blender;Zbrush;Unreal Engine 5","5","5","5","3","5","3","","4","5","3","3","3","5","2","3","3","","1","5","1","2","4","3","3","","4","4","3","5","5",""
"2020/05/23 11:26:37 下午 GMT+8","Maya;3DS Max","Maya;Unity;Unreal Engine 4","3","5","4","4","4","4","","2","2","2","2","5","5","2","3","4","","5","2","4","2","4","3","4","","4","4","4","3","2",""
"2020/05/24 12:08:36 上午 GMT+8","Blender;Unreal Engine 4","Blender;Unreal Engine 4","5","5","5","5","5","5","","3","5","5","5","5","5","5","5","5","","5","5","5","5","5","5","5","","5","4","5","3","5",""
"2020/05/24 3:04:59 上午 GMT+8","ProE（Creo）","Soliwork;ProE（Creo）","4","5","5","5","5","5","","5","3","3","4","5","3","4","5","2","","4","5","4","4","3","5","3","","5","4","3","2","5",""
"2020/05/24 10:22:00 上午 GMT+8","Blender","Blender","4","5","5","4","5","5","","4","4","2","2","2","5","4","4","5","","3","3","4","4","5","3","5","","3","4","3","2","4",""
"2020/05/24 10:23:58 上午 GMT+8","Blender;Zbrush","Blender;Zbrush;Unreal Engine 4","3","4","4","4","5","5","","4","5","4","3","4","4","4","4","4","","5","5","4","4","4","4","4","","3","3","3","4","4",""
"2020/05/25 7:12:58 上午 GMT+8","Blender","Blender","5","5","5","5","5","5","","3","5","5","3","4","4","4","3","3","","5","5","5","5","5","4","4","","5","5","4","4","5",""
"2020/05/25 10:53:28 上午 GMT+8","Blender;Unity;Rhino","Blender","3","4","5","4","5","5","","2","5","5","5","4","5","5","5","5","","5","5","5","5","5","5","5","","4","3","3","4","4",""
"2020/05/25 7:14:13 下午 GMT+8","3DS Max;REVIT","3DS Max;Soliwork;Rhino;REVIT","5","5","5","3","4","4","","3","3","4","4","4","4","3","4","3","","4","4","4","3","4","4","3","","4","4","3","3","3",""
"2020/05/25 9:41:19 下午 GMT+8","Blender","Blender","4","4","5","5","4","5","","5","5","5","5","5","5","5","5","5","","5","5","3","3","5","5","3","","5","5","5","5","5",""
"2020/05/26 10:56:07 上午 GMT+8","Blender;SketchUp","Blender","4","4","5","5","5","5","","3","4","5","3","4","4","3","4","5","","5","3","5","4","4","4","5","","5","3","5","4","4",""
"2020/05/28 4:26:43 下午 GMT+8","Soliwork","Soliwork;SketchUp","5","5","5","5","5","5","","1","1","2","1","5","5","5","5","2","","5","5","5","5","5","5","2","","5","3","2","2","2",""
"2020/05/29 7:22:08 下午 GMT+8","Blender;3DS Max;Soliwork","Blender;Unity;Soliwork","5","5","5","5","5","5","","5","5","5","5","5","5","5","5","5","","5","5","5","5","5","5","5","","5","5","3","5","5",""
"2020/05/31 2:27:44 上午 GMT+8","Blender;Maya","Blender;Maya;Zbrush","4","5","5","5","5","5","","3","5","4","3","3","3","3","5","3","","5","5","5","5","5","5","5","","5","3","3","3","5",""
