"時間戳記","你目前 ""會"" 或 ""熟練"" 的程式語言有哪些呢? (你目前的技能)","目前  ""最有興趣"" 或 ""最想學習"" 的語言","資源分享","拋接訂單、求職資訊交換","純技術的分享交流","結交同好","程式教學、課程","提問與解答幫助","其他","網頁前端","資料庫","Discord Bot","刷題解題、比賽 (CF、LeetCode、Code War...)","桌面應用程式開發 (含GUI)","移動裝置應用程式開發 (含GUI)","機器學習","網頁爬蟲","單晶片 / Arduino","其他","程式語言 與 基本語法","網頁前端","Discord Bot","桌面應用程式開發 (含GUI)","移動裝置應用程式開發 (含GUI)","資料庫","API串接 / API 開發","網路爬蟲","其他"
"2020/05/23 11:00:49 下午 GMT+8","C++;C","Python;C++;C#;C;HTML / CSS","5","4","4","5","5","5","","3","4","1","4","3","3","3","3","5","","5","4","1","4","4","4","2","2",""
"2020/05/23 11:01:46 下午 GMT+8","Python;JavaScript / TypeScript / Node.js;C++","Python;JavaScript / TypeScript / Node.js","5","5","5","1","5","5","","3","3","5","1","4","1","1","3","1","","5","3","5","5","1","1","5","3",""
"2020/05/23 11:02:09 下午 GMT+8","C#","Python;C++;C#","5","4","5","5","5","5","","2","3","5","4","5","4","4","5","2","","5","2","5","5","4","4","4","5",""
"2020/05/23 11:05:08 下午 GMT+8","C","Python;JavaScript / TypeScript / Node.js;Java;HTML / CSS","4","2","4","5","5","5","","4","3","4","2","4","4","3","3","4","我不知道爬蟲是什麼,所以,所以沒意見","5","5","4","3","3","2","3","3",""
"2020/05/23 11:17:49 下午 GMT+8","HTML / CSS","JavaScript / TypeScript / Node.js;HTML / CSS","4","3","4","5","2","4","","5","3","4","4","4","5","3","4","3","","5","5","5","5","4","3","2","2",""
"2020/05/23 11:23:37 下午 GMT+8","None","Python","3","2","4","2","5","5","","3","2","1","2","1","1","1","1","1","","5","1","1","1","1","1","1","1",""
"2020/05/23 11:26:34 下午 GMT+8","Python;C++;C","Python;JavaScript / TypeScript / Node.js;C++;Java;Ruby;HTML / CSS","5","3","5","5","5","5","","4","4","5","5","5","4","5","5","5","樹莓派","5","3","5","5","3","4","4","4",""
"2020/05/23 11:30:13 下午 GMT+8","Python","Python;JavaScript / TypeScript / Node.js;C++;C#;Java","3","5","4","5","5","5","","4","4","5","1","5","1","2","5","3","","5","5","5","5","1","4","4","4",""
"2020/05/24 12:10:58 上午 GMT+8","Python;C#;Java","JavaScript / TypeScript / Node.js;C++;Go Lang","5","5","5","5","5","5","交流很喜歡，只是不知道自己能夠到教人程度的東西(大概是入門程度)，會不會對這邊的人來說太過基礎，所以不敢開教學，不然的話其實是有幾次教朋友入門的經驗","4","4","5","4","5","5","5","4","3","","4","5","5","5","5","5","5","5",""
"2020/05/24 12:56:24 上午 GMT+8","Python;JavaScript / TypeScript / Node.js;C++","C++;Java;HTML / CSS","5","4","5","5","5","5","","5","5","4","2","5","4","4","4","2","","5","3","5","5","3","3","3","3",""
