"時間戳記","你目前 ""會"" 或 ""熟練"" 的程式語言有哪些呢? (你目前的技能)","目前  ""最有興趣"" 或 ""最想學習"" 的語言","資源分享","拋接訂單、求職資訊交換","純技術的分享交流","結交同好","程式教學、課程","提問與解答幫助","其他","網頁前端","資料庫","Discord Bot","刷題解題、比賽 (CF、LeetCode、Code War...)","桌面應用程式開發 (含GUI)","移動裝置應用程式開發 (含GUI)","機器學習","網頁爬蟲","單晶片 / Arduino","其他","程式語言 與 基本語法","網頁前端","Discord Bot","桌面應用程式開發 (含GUI)","移動裝置應用程式開發 (含GUI)","資料庫","API串接 / API 開發","網路爬蟲","其他"
"2020/05/23 3:39:33 下午 GMT+8","C++;C;Go Lang","JavaScript / TypeScript / Node.js;Kotlin;Rust;HTML / CSS","3","4","4","5","4","4","Meow","4","4","3","2","3","3","3","3","2","Meow","3","4","3","3","3","4","4","3","Meow"
"2020/05/23 4:38:14 下午 GMT+8","C++;C#;C;Kotlin;Java","Python;Go Lang","3","1","3","2","3","3","","3","3","3","3","3","3","4","4","3","","3","3","3","3","3","3","4","4",""
"2020/05/23 6:33:10 下午 GMT+8","Python;C++","Python;JavaScript / TypeScript / Node.js;Go Lang;Kotlin;HTML / CSS","5","5","3","5","4","5","","4","5","2","2","5","4","4","4","1","","4","4","1","4","4","4","5","4",""
"2020/05/23 11:00:18 下午 GMT+8","C++;C;Kotlin;Java","Python;C#;Go Lang","4","1","4","2","3","3","","3","4","3","3","4","3","4","4","3","","3","3","3","4","3","4","4","4",""
"2020/05/23 11:00:44 下午 GMT+8","C++;C","Python;JavaScript / TypeScript / Node.js;C#;Java","4","4","4","5","5","5","","3","4","5","5","5","4","5","5","4","","4","4","5","5","3","5","4","5",""
"2020/05/23 11:01:53 下午 GMT+8","C++;Go Lang","Python;JavaScript / TypeScript / Node.js","5","2","5","5","5","5","","3","4","5","5","5","5","3","1","5","","5","4","5","5","5","4","5","1",""
"2020/05/23 11:04:53 下午 GMT+8","Python;C++","JavaScript / TypeScript / Node.js;HTML / CSS","4","2","3","4","5","4","","4","4","5","3","4","4","5","5","3","","5","4","5","4","4","4","3","5",""
"2020/05/23 11:07:51 下午 GMT+8","Python;C","Rust","4","4","4","3","3","4","","2","3","3","4","3","3","3","3","5","","3","2","3","2","2","3","3","2",""
"2020/05/23 11:08:50 下午 GMT+8","Java","Go Lang;Kotlin;Java","3","5","5","3","5","5","","1","5","1","5","1","3","1","1","3","","1","1","1","1","3","5","5","1",""
"2020/05/23 11:16:40 下午 GMT+8","Python","Python;Java","4","3","4","4","4","4","","3","3","4","3","3","3","3","4","3","","4","3","4","3","3","3","3","4",""
